"Title","Handle","Body (HTML)","Variant SKU","Variant Price","Variant Compare At Price","Variant Weight (g)","Collection","Tags","Image Src","Attribute Set Id (product.metafields.custom.attribute_set_id)","Enable Googlecheckout (product.metafields.custom.enable_googlecheckout)","Has Options (product.metafields.custom.has_options)","Image Label (product.metafields.custom.image_label)","Is Recurring (product.metafields.custom.is_recurring)","Manufacturers (product.metafields.custom.manufacturers)","Msrp Display Actual Price Type (product.metafields.custom.msrp_display_actual_price_type)","Msrp Enabled (product.metafields.custom.msrp_enabled)","Required Options (product.metafields.custom.required_options)","Small Image (product.metafields.custom.small_image)","Small Image Label (product.metafields.custom.small_image_label)","Tax Class Id (product.metafields.custom.tax_class_id)","Thumbnail (product.metafields.custom.thumbnail)","Thumbnail Label (product.metafields.custom.thumbnail_label)","Url Key (product.metafields.custom.url_key)","Draw Length (product.metafields.custom.draw_length)","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Msrp (product.metafields.custom.msrp)","Size (product.metafields.custom.size)","Length (product.metafields.custom.length)","Shoe Size (product.metafields.custom.shoe_size)"
"Edelweiss 9mm Low Stretch Static Rope 600ft Black","edelweiss-9mm-low-stretch-static-rope-600ft-black",,"EDL-0135-Black-600Ft","459.9500","344.9600","25.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0135_2.jpg","32","1","0","Edelweiss 9mm Low Stretch Static Rope 600ft Black","0","938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0135_2.jpg","Edelweiss 9mm Low Stretch Static Rope 600ft Black","edelweiss-9mm-low-stretch-static-rope-600ft-black",,,,,,,,,
"Edelweiss 9mm Low Stretch Static Rope 150ft White","edelweiss-9mm-low-stretch-static-rope-150ft-white",,"EDL-0135-White-150Ft","119.9500","89.9600","6.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0135_3.jpg","32","1","0","Edelweiss 9mm Low Stretch Static Rope 150ft White","0","938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0135_3.jpg","Edelweiss 9mm Low Stretch Static Rope 150ft White","edelweiss-9mm-low-stretch-static-rope-150ft-white",,,,,,,,,
"Edelweiss 9mm Low Stretch Static Rope 200ft White","edelweiss-9mm-low-stretch-static-rope-200ft-white",,"EDL-0135-White-200Ft","219.9500","164.9600","8.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0135_3.jpg","32","1","0","Edelweiss 9mm Low Stretch Static Rope 200ft White","0","938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0135_3.jpg","Edelweiss 9mm Low Stretch Static Rope 200ft White","edelweiss-9mm-low-stretch-static-rope-200ft-white",,,,,,,,,
"Edelweiss 9mm Low Stretch Static Rope 300ft White","edelweiss-9mm-low-stretch-static-rope-300ft-white",,"EDL-0135-White-300Ft","239.9500","179.9600","12.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0135_3.jpg","32","1","0","Edelweiss 9mm Low Stretch Static Rope 300ft White","0","938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0135_3.jpg","Edelweiss 9mm Low Stretch Static Rope 300ft White","edelweiss-9mm-low-stretch-static-rope-300ft-white",,,,,,,,,
"Edelweiss 9mm Low Stretch Static Rope 600ft White","edelweiss-9mm-low-stretch-static-rope-600ft-white",,"EDL-0135-White-600Ft","449.9500","337.4600","25.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0135_3.jpg","32","1","0","Edelweiss 9mm Low Stretch Static Rope 600ft White","0","938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0135_3.jpg","Edelweiss 9mm Low Stretch Static Rope 600ft White","edelweiss-9mm-low-stretch-static-rope-600ft-white",,,,,,,,,
"Edelweiss 10mm Low Stretch Static Rope 150ft Black","edelweiss-10mm-low-stretch-static-rope-150ft-black",,"EDL-0136-Black-150Ft","119.9500","89.9600","7.0000","Static","Static","https://gearexpress.com/media/catalog/product/e/d/edl-0136_2.jpg","32","1","0","Edelweiss 10mm Low Stretch Static Rope 150ft Black","0","938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0136_2.jpg","Edelweiss 10mm Low Stretch Static Rope 150ft Black","edelweiss-10mm-low-stretch-static-rope-150ft-black",,,,,,,,,
"Edelweiss 10mm Low Stretch Static Rope 200ft Black","edelweiss-10mm-low-stretch-static-rope-200ft-black",,"EDL-0136-Black-200Ft","159.9500","119.9600","9.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0136_2.jpg","32","1","0","Edelweiss 10mm Low Stretch Static Rope 200ft Black",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0136_2.jpg","Edelweiss 10mm Low Stretch Static Rope 200ft Black","edelweiss-10mm-low-stretch-static-rope-200ft-black",,,,,,,,,
"Edelweiss 10mm Low Stretch Static Rope 300ft Black","edelweiss-10mm-low-stretch-static-rope-300ft-black",,"EDL-0136-Black-300Ft","239.9500","179.9600","13.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0136_2.jpg","32","1","0","Edelweiss 10mm Low Stretch Static Rope 300ft Black",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0136_2.jpg","Edelweiss 10mm Low Stretch Static Rope 300ft Black","edelweiss-10mm-low-stretch-static-rope-300ft-black",,,,,,,,,
"Edelweiss 10mm Low Stretch Static Rope 600ft Black","edelweiss-10mm-low-stretch-static-rope-600ft-black",,"EDL-0136-Black-600Ft","449.9500","337.4600","28.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0136_2.jpg","32","1","0","Edelweiss 10mm Low Stretch Static Rope 600ft Black",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0136_2.jpg","Edelweiss 10mm Low Stretch Static Rope 600ft Black","edelweiss-10mm-low-stretch-static-rope-600ft-black",,,,,,,,,
"Edelweiss 10mm Low Stretch Static Rope 150ft White","edelweiss-10mm-low-stretch-static-rope-150ft-white",,"EDL-0136-White-150Ft","109.9500","82.4600","7.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0136_3.jpg","32","1","0","Edelweiss 10mm Low Stretch Static Rope 150ft White","0","938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0136_3.jpg","Edelweiss 10mm Low Stretch Static Rope 150ft White","edelweiss-10mm-low-stretch-static-rope-150ft-white",,,,,,,,,
"Edelweiss 10mm Low Stretch Static Rope 200ft White","edelweiss-10mm-low-stretch-static-rope-200ft-white",,"EDL-0136-White-200Ft","149.9500","112.4600","9.0000","Static","Static","https://gearexpress.com/media/catalog/product/e/d/edl-0136_3.jpg","32","1","0","Edelweiss 10mm Low Stretch Static Rope 200ft White","0","938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0136_3.jpg","Edelweiss 10mm Low Stretch Static Rope 200ft White","edelweiss-10mm-low-stretch-static-rope-200ft-white",,,,,,,,,
"Edelweiss 10mm Low Stretch Static Rope 600ft White","edelweiss-10mm-low-stretch-static-rope-600ft-white",,"EDL-0136-White-600Ft","439.9500","329.9600","28.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0136_3.jpg","32","1","0","Edelweiss 10mm Low Stretch Static Rope 600ft White",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0136_3.jpg","Edelweiss 10mm Low Stretch Static Rope 600ft White","edelweiss-10mm-low-stretch-static-rope-600ft-white",,,,,,,,,
"Edelweiss 10.5mm Low Stretch Static Rope 150ft","edelweiss-10.5mm-low-stretch-static-rope-150ft",,"EDL-0137-150Ft","119.9500","89.9600","7.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0137_1.jpg","32","1","0","Edelweiss 10.5mm Low Stretch Static Rope 150ft",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0137_1.jpg","Edelweiss 10.5mm Low Stretch Static Rope 150ft","edelweiss-10-5mm-low-stretch-static-rope-150ft",,,,,,,,,
"Edelweiss 10.5mm Low Stretch Static Rope 200ft","edelweiss-10.5mm-low-stretch-static-rope-200ft",,"EDL-0137-200Ft","159.9500","119.9600","10.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0137_1.jpg","32","1","0","Edelweiss 10.5mm Low Stretch Static Rope 200ft",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0137_1.jpg","Edelweiss 10.5mm Low Stretch Static Rope 200ft","edelweiss-10-5mm-low-stretch-static-rope-200ft",,,,,,,,,
"Edelweiss 11mm Low Stretch Static Rope 150ft Black","edelweiss-11mm-low-stretch-static-rope-150ft-black",,"EDL-0138-Black-150Ft","144.9500","108.7100","7.5000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0138_2.jpg","32","1","0","Edelweiss 11mm Low Stretch Static Rope 150ft Black",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0138_2.jpg","Edelweiss 11mm Low Stretch Static Rope 150ft Black","edelweiss-11mm-low-stretch-static-rope-150ft-black",,,,,,,,,
"Edelweiss 11mm Low Stretch Static Rope 200ft Black","edelweiss-11mm-low-stretch-static-rope-200ft-black",,"EDL-0138-Black-200Ft","189.9500","142.4600","10.0000",,,"https://gearexpress.com/media/catalog/product/e/d/edl-0138_2.jpg","32","1","0","Edelweiss 11mm Low Stretch Static Rope 200ft Black",,"938","4","2","0",,,"2","https://gearexpress.com/media/catalog/product/e/d/edl-0138_2.jpg","Edelweiss 11mm Low Stretch Static Rope 200ft Black","edelweiss-11mm-low-stretch-static-rope-200ft-black",,,,,,,,,
