Entity ID,SKU,Error
15239,BLU-0120-68_in-Blue,Missing or zero price for simple product
15530,BDI-0826-Dark_Denim-S/M,Missing or zero price for simple product
15544,TRG-0105-Mega_Rack_,Missing or zero price for simple product
15545,BLU-0122-18_in-Yellow,Missing or zero price for simple product
15546,BDI-0703-Fire_(Red),Missing or zero price for simple product
15547,BLU-0122-18_in-Blue,Missing or zero price for simple product
15548,DMM-0183-Gun_Metal,Missing or zero price for simple product
15549,PTZ-0593-Size_1,Missing or zero price for simple product
15557,PTZ-0590-Blue-Size_2,Missing or zero price for simple product
15559,BLU-0120-11_in-Brown,Missing or zero price for simple product
15560,BLU-0120-20_in-Blue,Missing or zero price for simple product
15561,BLU-0121-18_in-Red,Missing or zero price for simple product
15562,BDI-0527-Ultra_Blue-S/M,Missing or zero price for simple product
15563,"MET-0337-10""_(25cm)",Missing or zero price for simple product
15565,PTZ-0411-Size_1,Missing or zero price for simple product
15570,BDI-0710-Repo_Black-S-M,Missing or zero price for simple product
15588,DMM-0248-120_cm,Missing or zero price for simple product
15589,DMM-0372-Green-18_cm,Missing or zero price for simple product
15590,BDI-0969-12_cm,Missing or zero price for simple product
15606,BDI-0709-Vapor_Gray-S-M,Missing or zero price for simple product
15607,BLU-0121-18_in-Yellow,Missing or zero price for simple product
15608,BDI-0969-18_cm,Missing or zero price for simple product
15611,BDI-0711-Green_Sage-M-L,Missing or zero price for simple product
15613,MET-0432-20_in,Missing or zero price for simple product
15616,BDI-0968-Matte_Blac,Missing or zero price for simple product
15620,BEA-0096-Pet_Blue-30M,Missing or zero price for simple product
15622,PTZ-0590-Grey-Size_2,Missing or zero price for simple product
15623,TRG-0105-Rack_Pack,Missing or zero price for simple product
15630,EDL-0174-120_cm,Missing or zero price for simple product
15631,BDI-0968-Powell_Blu,Missing or zero price for simple product
15633,BDI-0711-Dark_Denim-S-M,Missing or zero price for simple product
15635,PTZ-0590-White-Size_1,Missing or zero price for simple product
15637,BDI-0067-Red_Clay-L,Missing or zero price for simple product
15642,BDI-0976-12_cm,Missing or zero price for simple product
15647,STR-0147-80M-Neon_Green-Dry,Missing or zero price for simple product
